Full Name,Year,Nationality,Gender,Type of Death,Status,Job,Employed as,Organizations,Coverage,Medium,Local or Foreign?,Source of Fire,Motive Confirmed,tortured,captive,threatened,photoUrl,photoCredit
Fares Hamadi,2015,,Male,Murder,Confirmed,Producer,Staff,Eye on the Homeland,"Corruption,Human Rights,Politics,War","Print,Internet",Foreign,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Fares-Hamadi200.jpg,(Photo courtesy of Eye on the Homeland)
Filadelfo Sánchez Sarmiento,2015,Mexico,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,La Favorita 103.3FM La Voz de la Sierra Sur,Politics,"Print,Radio",Local,,Confirmed,No,No,Yes,,
Firas al-Baher,2015,Iraq,Male,Murder,Confirmed,"Producer,Technician",Staff,Nineveh al-Ghad,Politics,Television,Local,Political Group,Confirmed,No,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Firas-al-Baher-cropped200.jpg,(Photo courtesy of the photographer)
Flor Alba Núñez Vargas,2015,Colombia,Female,Murder,Confirmed,Broadcast Reporter,Staff,Red Noticias and La Preferida Estereo,Crime,Radio,Local,Criminal Group,Confirmed,No,No,Yes,,
George Abanga,2015,Ghana,Male,Murder,Confirmed,Broadcast Reporter,Staff,"Success FM, Peace FM",Politics,Radio,Local,,Confirmed,No,No,No,,
Georges Wolinski,2015,France,Male,Murder,Confirmed,Columnist/Commentator,Staff,Charlie Hebdo,"Culture,Human Rights,Politics","Print,Internet",Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/wolinski%252520AP080516013275.jpg,AP
Gerardo Ceferino Servían,2015,,Male,Murder,Confirmed,Broadcast Reporter,Staff,Ciudad Nueva FM,Politics,Radio,Foreign,Government Officials,Confirmed,No,No,No,,
Gleydson Carvalho,2015,Brazil,Male,Murder,Confirmed,Broadcast Reporter,Staff,Radio Liberdade FM 90.3,"Corruption,Crime",Radio,Local,Government Officials,Confirmed,No,No,Yes,,
Guillaume Barreau-Decherf,2015,France,Male,Dangerous Assignment,Confirmed,Print Reporter,Freelance,Freelance,Culture,Print,Local,Political Group,Confirmed,,,,,
Hindia Haji Mohamed,2015,Somalia,Female,Murder,Confirmed,"Broadcast Reporter,Producer",Staff,"Radio Mogadishu, Somali National TV","Politics,War","Radio,Television",Local,Political Group,Confirmed,No,No,No,,
Humam Najjar (Abu Yazan al-Halabi),2015,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Internet Reporter",Staff,Aleppo Today,"Human Rights,War","Television,Internet",Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Hummam-Najjar200.jpg,(Photo courtesy of the photographer)
Ibrahim Abd al-Qader,2015,,Male,Murder,Confirmed,Editor,Staff,"Eye on the Homeland, Raqqa is Being Slaughtered Silently","Corruption,Human Rights,Politics,War","Print,Internet",Foreign,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Ibrahim-Abd-al-Qader200.jpg,(Photo courtesy of Eye on the Homeland)
Israel Gonçalves Silva,2015,Brazil,Male,Murder,Confirmed,Broadcast Reporter,Staff,Rádio Itaenga FM,Corruption,Radio,Local,Criminal Group,Confirmed,No,No,Yes,,
Ítalo Eduardo Diniz Barros,2015,Brazil,Male,Murder,Confirmed,Internet Reporter,Staff,Blog Ítalo Diniz,Politics,Internet,Local,"Government Officials, Local Residents",Confirmed,No,No,Yes,,
Jagendra Singh,2015,India,Male,Murder,Confirmed,Internet Reporter,Freelance,Freelance,"Corruption,Crime,Politics","Print,Internet",Local,Government Officials,Confirmed,Yes,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/jagendra%252520singh%252520ap.jpg,AP
Jalaa al-Abadi,2015,Iraq,Male,Murder,Confirmed,"Camera Operator,Photographer",Staff,Nineveh Reporters Network,"Human Rights,Politics,War",Internet,Local,Political Group,Confirmed,No,Yes,Yes,,
Jamal Khalifeh,2015,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer,Internet Reporter,Producer",Freelance,Freelance,War,Internet,Local,"Local Residents, Political Group",Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/jamal%252520khalife.facebook.jpg.jpg,Jamal Khalifeh. (Facebook)
Jean Cabut (Cabu),2015,France,Male,Murder,Confirmed,Columnist/Commentator,Staff,Charlie Hebdo,"Culture,Human Rights,Politics","Print,Internet",Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/cabu%252520000_Par8067304.jpg,AFP
John Kituyi,2015,Kenya,Male,Murder,Confirmed,"Editor,Publisher/Owner",Staff,Mirror Weekly,Politics,Print,Local,Unknown,Confirmed,No,No,Yes,,
Jomaa Al-Ahmad (Abu al-Nour al-Halabi),2015,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Camera Operator,Internet Reporter",Staff,Shahba Press Agency,War,Internet,Local,Military Officials,Confirmed,,,,,
José Moisés Sánchez Cerezo ,2015,Mexico,Male,Murder,Confirmed,"Internet Reporter,Print Reporter,Publisher/Owner",Staff,La Unión,"Corruption,Crime,Politics","Print,Internet",Local,Government Officials,Confirmed,Yes,Yes,Yes,,
Kenji Goto,2015,,Male,Murder,Confirmed,"Camera Operator,Photographer,Internet Reporter",Freelance,Freelance,"Culture,Human Rights,Politics,War","Television,Internet",Foreign,Political Group,Confirmed,Yes,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Kenji-Goto200.jpg,Getty
Khaled al-Washli,2015,Yemen,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Al-Masirah TV,"Human Rights,Politics,War",Television,Local,Political Group,Confirmed,,,,,
Luis Antonio Peralta Cuéllar,2015,Colombia,Male,Murder,Confirmed,"Broadcast Reporter,Producer,Publisher/Owner",Staff,Linda Stereo,"Business,Corruption,Politics",Radio,Local,Local Residents,Confirmed,No,No,Yes,,
Łukasz Masiak,2015,Poland,Male,Murder,Confirmed,"Editor,Internet Reporter",Staff,Nasza Mława,"Corruption,Crime",Internet,Local,Local Residents,Confirmed,No,No,Yes,,
Mohamed Shamsan,2015,Yemen,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Yemen Today,"Culture,Human Rights,Politics,War",Television,Local,Military Officials,Confirmed,,,,,
Mohammed al-Asfar,2015,Syria,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Jazeera,War,Television,Local,Military Officials,Confirmed,,,,,
Moustapha Ourrad,2015,France,Male,Murder,Confirmed,Editor,Staff,Charlie Hebdo,"Culture,Human Rights,Politics","Print,Internet",Local,Political Group,Confirmed,No,No,Yes,,
Muftah al-Qatrani,2015,Libya,Male,Murder,Confirmed,"Broadcast Reporter,Editor,Producer",Staff,Al-Anwar,War,Television,Local,,Confirmed,No,No,Yes,,
Musa Mohamed,2015,South Sudan,Male,Murder,Confirmed,Editor,Staff,Raja FM,"Politics,War",Radio,Local,Political Group,Confirmed,No,No,No,,
Mustaf Abdi Noor ,2015,Somalia,Male,Dangerous Assignment,Confirmed,"Camera Operator,Photographer",Freelance,Freelance,"Politics,War","Television,Internet",Local,Political Group,Confirmed,,,,,
Naji Jerf,2015,,Male,Murder,Confirmed,"Editor,Producer",Staff,"Hentah, Raqqa is Being Slaughtered Silently","Human Rights,Politics",Internet,Foreign,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Naji-Jerf450.jpg,AFP
Niloy Neel,2015,Bangladesh,Male,Murder,Confirmed,Internet Reporter,Freelance,Freelance,"Culture,Human Rights,Politics",Internet,Local,Political Group,Confirmed,No,No,Yes,,
Noureddine Hashim,2015,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Photographer,Internet Reporter",Staff,Al Etihad Press,War,"Television,Internet",Local,Military Officials,Confirmed,,,,,
Obada Ghazal,2015,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer,Internet Reporter",Staff,SMART News Agency,War,Television,Local,Military Officials,Confirmed,,,,,
Philippe Honoré,2015,France,Male,Murder,Confirmed,Columnist/Commentator,Freelance,Freelance,"Culture,Human Rights,Politics","Print,Internet",Local,Political Group,Confirmed,No,No,Yes,,
Randa George,2015,South Sudan,Female,Murder,Confirmed,Broadcast Reporter,Staff,Raja FM,"Politics,War",Radio,Local,Political Group,Confirmed,No,No,No,,
Rubén Espinosa Becerril,2015,Mexico,Male,Murder,Confirmed,Photographer,Staff,"Proceso, AVC Noticias, Cuartoscuro","Culture,Human Rights,Politics",Print,Local,,Confirmed,Yes,No,Yes,,
Serhiy Nikolayev,2015,Ukraine,Male,Crossfire,Confirmed,Photographer,Staff,Segodnya,"Human Rights,War",Print,Local,,Confirmed,,,,,
Soleil Balanga,2015,Democratic Republic of the Congo,Male,Murder,Confirmed,Broadcast Reporter,Staff,Radio Monkoto Soso Aleli,"Culture,Politics",Radio,Local,Local Residents,Confirmed,No,No,No,,
Stephane Charbonnier (Charb),2015,France,Male,Murder,Confirmed,Editor,Staff,Charlie Hebdo,"Culture,Human Rights,Politics","Print,Internet",Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/charb%252520000_Par7427869.jpg,AFP
Thaer al-Ajlani,2015,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Camera Operator,Print Reporter",Freelance,Sham FM; al-Watan,War,"Print,Radio,Television",Local,Political Group,Confirmed,,,,,
Thaer Al-Ali,2015,Iraq,Male,Murder,Confirmed,Editor,Staff,Rai al-Nas,"Corruption,Crime,Culture,Human Rights,Politics,War",Print,Local,Political Group,Confirmed,No,Yes,No,,
Wasem Aledel,2015,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer,Internet Reporter",Staff,Maarat Media Center,"Human Rights,Politics,War","Television,Internet",Local,Military Officials,Confirmed,,,,,
Washiqur Rahman Babu,2015,Bangladesh,Male,Murder,Confirmed,Internet Reporter,Freelance,Freelance,"Culture,Human Rights,Politics",Internet,Local,Political Group,Confirmed,No,No,Yes,,
Yahya Abdul Hamid,2015,Iraq,Male,Murder,Confirmed,Editor,Staff,Radio Rasheed,"Corruption,Crime,Human Rights,Politics",Radio,Local,Political Group,Confirmed,No,Yes,No,,
Youssef al-Ayzari,2015,Yemen,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Suhail TV,"Politics,War",Television,Local,Military Officials,Confirmed,,,,,
Zakaria Ibrahim,2015,Syria,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Jazeera,War,Television,Local,Military Officials,Confirmed,,,,,
Zaman Mehsud,2015,Pakistan,Male,Murder,Confirmed,Print Reporter,Freelance,"Daily Ummat, Daily Nai Baat","Human Rights,Politics",Print,Local,Political Group,Confirmed,No,No,No,,
Abdirizak Ali Abdi,2014,Somalia,Male,Murder,Confirmed,Broadcast Reporter,Freelance,Freelance,Politics,"Radio,Television",Local,,Confirmed,No,No,Yes,,
Abdulkadir Ahmed,2014,Somalia,Male,Murder,Confirmed,Broadcast Reporter,Freelance,Freelance,Politics,"Radio,Television",Local,Political Group,Confirmed,No,No,No,,
Ahmed Hasan Ahmed,2014,,Male,Dangerous Assignment,Confirmed,"Camera Operator,Photographer",Staff,Xinhua News Agency,"Human Rights,Politics,War",Internet,Foreign,,Confirmed,,,,,
Ahmed Rilwan Abdulla,2014,Maldives,Male,Murder,Confirmed,"Internet Reporter,Print Reporter",Staff,Minivan News,"Corruption,Crime,Culture,Human Rights,Politics","Print,Internet",Local,Political Group,Confirmed,No,Yes,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Maldives_7_1.jpg_ef157674-0f84-4329-b441-332e1bba7012.jpeg,CPJ
Al-Moutaz Bellah Ibrahim,2014,Syria,Male,Murder,Confirmed,Broadcast Reporter,Freelance,Shaam News Network,"Human Rights,Politics,War","Radio,Television",Local,Political Group,Confirmed,No,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Al-Moutaz-Bellah-Ibrahim200.jpg,(Photo courtesy of Raqqa is Being Slaughtered Silently)
Ali Mustafa,2014,,Male,Crossfire,Confirmed,Photographer,Freelance,Freelance,"Human Rights,Politics,War","Print,Internet",Foreign,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/ali.mustafa.google.plus.cropped.jpg,Google+
Anatoly Klyan,2014,,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Pervy Kanal,"Politics,War",Television,Foreign,,Confirmed,,,,,
Andrea Rocchelli,2014,,Male,Crossfire,Confirmed,Photographer,Freelance,Cesura photo agency,"Human Rights,War","Print,Internet",Foreign,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/andrea.rocchelli.ap.jpg,AP
Andrei Stenin,2014,,Male,Crossfire,Confirmed,Photographer,Staff,Rossiya Segodnya,"Human Rights,War","Print,Internet",Foreign,,Confirmed,,,,,
Anja Niedringhaus,2014,,Female,Dangerous Assignment,Confirmed,Photographer,Staff,The Associated Press,"Human Rights,War","Print,Internet",Foreign,Government Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/anja.ap.jpg,AP
Atallah Bajbouj,2014,Syria,Male,Crossfire,Confirmed,"Camera Operator,Internet Reporter",Staff,Nabaa Media Foundation,"Human Rights,Politics,War",Internet,Local,,Confirmed,,,,,
"Aung Kyaw Naing, ""Par Gyi""",2014,Myanmar,Male,Murder,Confirmed,"Photographer,Print Reporter",Freelance,Freelance,"Human Rights,War",Print,Local,Military Officials,Confirmed,Yes,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Killed-Burma-Par-Gyi-Reuters.jpg,Reuters/Soe Zeya Tun
Bilal Ahmed Bilal,2014,Syria,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Producer",Staff,Palestine Today TV,"Human Rights,Politics,War",Television,Local,Government Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/bilal.ahmed.bilal.facebook.jpg,Facebook
Camille Lepage,2014,,Female,Dangerous Assignment,Confirmed,Photographer,Freelance,Freelance,"Human Rights,War","Print,Internet",Foreign,Paramilitary Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/camille.lepage.afp.jpg,(AFP)
Edgar Pantaleón Fernández Fleitas,2014,Paraguay,Male,Murder,Confirmed,"Broadcast Reporter,Columnist/Commentator",Staff,Belén Comunicaciones,"Corruption,Crime,Politics",Radio,Local,"Criminal Group, Political Group",Confirmed,No,No,No,,
Facely Camara,2014,Guinea,Male,Murder,Confirmed,Broadcast Reporter,Staff,Liberté FM,Human Rights,Radio,Local,Mob Violence,Confirmed,No,No,No,,
Fausto Gabriel Alcaraz Garay,2014,Paraguay,Male,Murder,Confirmed,Broadcast Reporter,Staff,Radio Amambay,Crime,Radio,Local,Criminal Group,Confirmed,No,No,No,,
Firas Mohammed Attiyah,2014,Iraq,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Fallujah TV,"Politics,War",Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Firas-Mohammed-Attiyah200.jpg,(Photo courtesy of the family)
Germain Kennedy Mumbere Muliwavyo,2014,Democratic Republic of the Congo,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Radio Télévision Muungano,"Politics,War","Radio,Television",Local,Political Group,Confirmed,,,,,
Ghulam Rasool,2014,Pakistan,Male,Murder,Confirmed,Print Reporter,Staff,Online International News Network,"Crime,Culture,Politics",Print,Local,,Confirmed,No,No,No,,
Gregorio Jiménez de la Cruz,2014,Mexico,Male,Murder,Confirmed,Print Reporter,Staff,Notisur and Liberal del Sur,Crime,Print,Local,Criminal Group,Confirmed,Yes,Yes,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/gregorio.jimenez.ap.jpg,AP
Igor Kornelyuk,2014,,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,VGTRK,War,Television,Foreign,,Confirmed,,,,,
Irshad Mastoi,2014,Pakistan,Male,Murder,Confirmed,"Editor,Print Reporter",Staff,"Online International News Network, ARY News","Human Rights,Politics,War","Print,Television",Local,,Confirmed,No,No,Yes,,
James Foley,2014,USA,Male,Murder,Confirmed,"Photographer,Internet Reporter",Freelance,Freelance,"Human Rights,War",Internet,Foreign,Political Group,Confirmed,Yes,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/foley.ap.jpg,AP
Khaled Abdel Thamer,2014,Iraq,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Al-Iraqiya,Politics,Television,Local,Political Group,Confirmed,,,,,
Khaled Reyadh Hamad,2014,Israel and the Occupied Palestinian Territory,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Staff,Continue Production Films,"Human Rights,Politics,War",Television,Local,Military Officials,Confirmed,,,,,
Khalid Ali Hamada,2014,Iraq,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Ahad TV,War,Television,Local,Political Group,Confirmed,,,,,
Leyla Yildizhan (Deniz Firat),2014,,Female,Crossfire,Confirmed,Broadcast Reporter,Freelance,Firat News Agency,"Human Rights,Politics,War","Television,Internet",Foreign,"Military Officials, Political Group",Confirmed,,,,,
Luke Somers,2014,,Male,Murder,Confirmed,"Photographer,Editor",Freelance,Freelance,"Culture,Human Rights,Politics","Print,Internet",Foreign,Political Group,Confirmed,No,Yes,No,,
Mahran al-Deeri,2014,Syria,Male,Crossfire,Confirmed,Internet Reporter,Staff,Al-Jazeera,"Human Rights,Politics,War",Internet,Local,"Military Officials, Political Group",Confirmed,,,,,
Marcos de Barros Leopoldo Guerra,2014,Brazil,Male,Murder,Confirmed,Internet Reporter,Staff,Ubatuba Cobra,"Corruption,Politics",Internet,Local,Political Group,Confirmed,No,No,Yes,,
Mayada Ashraf,2014,Egypt,Female,Crossfire,Confirmed,"Internet Reporter,Print Reporter",Staff,Al-Dustour,"Human Rights,Politics","Print,Internet",Local,,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/mayada.ashraf.afp.jpg,AFP
Michael Tshele,2014,South Africa,Male,Murder,Confirmed,Photographer,Freelance,Freelance,"Corruption,Human Rights","Print,Internet",Local,Government Officials,Confirmed,No,No,No,,
Mohamed Isaq,2014,Somalia,Male,Murder,Confirmed,Camera Operator,Staff,Kalsan TV,"Culture,Politics",Television,Local,Political Group,Confirmed,No,No,No,,
Mohamed Taani,2014,Syria,Male,Crossfire,Confirmed,Camera Operator,Staff,SMART News Agency,"Human Rights,Politics,War",Internet,Local,Military Officials,Confirmed,,,,,
Mohammed al-Qasim,2014,Syria,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Rozana Radio,"Human Rights,Politics,War","Radio,Television,Internet",Local,,Confirmed,,,,,
Mouaz Alomar (Abu Mehdi Al Hamwi),2014,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Photographer,Internet Reporter",Freelance,Freelance,"Human Rights,Politics,War","Television,Internet",Local,Military Officials,Confirmed,,,,,
Muftah Bu Zeid,2014,Libya,Male,Murder,Confirmed,Editor,Staff,Brnieq,"Politics,War","Print,Internet",Local,,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/muftah.bu.zeid.afp.jpg,AFP
Muthanna Abdel Hussein,2014,Iraq,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Al-Iraqiya,Politics,Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/muthana.facebook.jpg,"Muthana Abdel Hussein, a cameraman for Al-Iraqiya TV, was killed in Hilla, Iraq in March 2014. (Facebook)"
MVN Shankar,2014,India,Male,Murder,Confirmed,Print Reporter,Staff,Andhra Prabha,Corruption,Print,Local,Criminal Group,Confirmed,No,No,No,,
Nils Horner,2014,,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Sveriges Radio,"Politics,War",Radio,Foreign,,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/nilshorner.ap.jpg,AP
Octavio Rojas Hernández,2014,Mexico,Male,Murder,Confirmed,Print Reporter,Staff,El Buen Tono,"Corruption,Crime",Print,Local,"Criminal Group, Government Officials",Confirmed,No,No,No,,
Omar Abdul Qader,2014,Syria,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Mayadeen,War,Television,Local,Political Group,Confirmed,,,,,
Pablo Medina Velázquez,2014,Paraguay,Male,Murder,Confirmed,Print Reporter,Staff,ABC Color,Crime,Print,Local,"Criminal Group, Government Officials",Confirmed,No,No,Yes,,
Pedro Palma,2014,Brazil,Male,Murder,Confirmed,Publisher/Owner,Staff,Panorama Regional,"Corruption,Politics",Print,Local,Government Officials,Confirmed,No,No,Yes,,
Rami Asmi,2014,Syria,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Orient News,"Human Rights,Politics,War","Television,Internet",Local,Military Officials,Confirmed,,,,,
Rami Rayan,2014,Israel and the Occupied Palestinian Territory,Male,Crossfire,Confirmed,Photographer,Staff,Palestine Network for Press and Media,"Human Rights,Politics,War","Print,Television,Internet",Local,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/rami.facebook.jpg,Facebook
Rubylita Garcia,2014,Philippines,Female,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,"Remate, dwAD","Corruption,Crime","Print,Radio",Local,,Confirmed,No,No,Yes,,
Sadrul Alam Nipul,2014,Bangladesh,Male,Murder,Confirmed,Print Reporter,Staff,Dainik Mathabhanga,Crime,Print,Local,Criminal Group,Confirmed,No,No,No,,
Salem Khalil,2014,Syria,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Orient News,"Human Rights,Politics,War","Television,Internet",Local,Military Officials,Confirmed,,,,,
Sameh al-Aryan,2014,Israel and the Occupied Palestinian Territory,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Staff,Al-Aqsa TV,"Human Rights,Politics,War",Television,Local,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/sameh.facebook.jpg,Facebook
Santiago Ilídio Andrade,2014,Brazil,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Bandeirantes,Politics,Television,Local,Local Residents,Confirmed,,,,,
Shan Dahar,2014,Pakistan,Male,Murder,Confirmed,Broadcast Reporter,Staff,Abb Takk Television,"Corruption,Crime,Politics",Television,Local,Criminal Group,Confirmed,No,No,No,,
Simone Camilli,2014,,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Staff,The Associated Press,"Politics,War","Television,Internet",Foreign,Military Officials,Confirmed,,,,,
Steven Sotloff,2014,,Male,Murder,Confirmed,"Internet Reporter,Print Reporter",Freelance,Freelance,"Human Rights,Politics,War","Print,Internet",Foreign,Political Group,Confirmed,Yes,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Steven-Sotloff200.jpg,Getty
Tarun Kumar Acharya,2014,India,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,"Kanak TV, Sambad","Corruption,Crime,Human Rights","Print,Television",Local,Local Residents,Confirmed,No,No,Yes,,
Turad Mohamed al-Zahouri,2014,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer,Publisher/Owner",Freelance,Freelance,"Human Rights,Politics,War",Internet,Local,Military Officials,Confirmed,,,,,
Vyacheslav Veremiy,2014,Ukraine,Male,Murder,Confirmed,"Internet Reporter,Print Reporter",Staff,Vesti,Politics,"Print,Internet",Local,Local Residents,Confirmed,No,No,No,,
Yousef el-Dous,2014,Syria,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Orient News,"Human Rights,Politics,War","Television,Internet",Local,Military Officials,Confirmed,,,,,
Yusuf Ahmed Abukar,2014,Somalia,Male,Murder,Confirmed,"Broadcast Reporter,Editor",Staff,"Radio Ergo, Mustaqbal Radio","Human Rights,Politics",Radio,Local,,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Yusuf%252520Keynan%252520talking%252520to%252520IDPs%252520%252528Abdukhader%252520Ahmed%252529%252520photo.abdukhader.ahmed.jpg,Abdukhader Ahmed
Zaher Mtawe'e,2014,Syria,Male,Crossfire,Confirmed,"Camera Operator,Internet Reporter",Staff,Zebdine Coordination Committee,"Human Rights,Politics,War",Internet,Local,,Confirmed,,,,,
Zubair Hatami,2014,Afghanistan,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Mitra TV,"Human Rights,Politics,War",Television,Local,Political Group,Confirmed,,,,,
Abdel Aziz Mahmoud Hasoun,2013,Syria,Male,Crossfire,Confirmed,Internet Reporter,Staff,Masar Press,"Human Rights,Politics,War",Internet,Local,Military Officials,Confirmed,,,,,
Abdel Karim Nazir Ismail,2013,Syria,Male,Crossfire,Confirmed,Camera Operator,Freelance,Freelance,"Human Rights,War",Internet,Local,,Confirmed,,,,,
Abdihared Osman Aden,2013,Somalia,Male,Murder,Confirmed,Producer,Freelance,Shabelle Media Network,"Culture,Politics","Radio,Television",Local,,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Abdihared%252520Osman%252520Adan%252520%252528Shabelle%252529croppedcap.jpg,
Abdul Raheem Kour Hassan,2013,Syria,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Photographer,Publisher/Owner",Staff,Watan FM,"Human Rights,Politics,War","Radio,Internet",Local,Government Officials,Confirmed,,,,,
Ahmed Abdel Gawad,2013,Egypt,Male,Dangerous Assignment,Confirmed,"Editor,Print Reporter",Staff,"Al-Akhbar, Misr25","Human Rights,Politics","Print,Television",Local,,Confirmed,,,,,
Ahmed Assem el-Senousy,2013,Egypt,Male,Dangerous Assignment,Confirmed,Photographer,Staff,Freedom and Justice,"Human Rights,Politics","Print,Internet",Local,Military Officials,Confirmed,,,,,
Ahmed Rajib Haider,2013,Bangladesh,Male,Murder,Confirmed,Internet Reporter,Freelance,Freelance,"Corruption,Human Rights,Politics",Internet,Local,Political Group,Confirmed,No,No,Yes,,
Akhmednabi Akhmednabiyev,2013,Russia,Male,Murder,Confirmed,"Editor,Internet Reporter",Staff,Novoye Delo,"Corruption,Human Rights,Politics",Internet,Local,Government Officials,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/russiajournalist.jpg,
Alaa Edward Butros,2013,Iraq,Male,Murder,Confirmed,"Camera Operator,Photographer",Freelance,Freelance,"Crime,Human Rights,Politics,War",Television,Local,,Confirmed,No,No,Yes,,
Ali Mahmoud Othman,2013,Syria,Male,Unknown,Confirmed,"Camera Operator,Photographer",Freelance,Freelance,"Human Rights,War",Internet,Local,Military Officials,Confirmed,,,,,
Amer Diab,2013,Syria,Male,Crossfire,Confirmed,"Broadcast Reporter,Camera Operator",Freelance,Freelance,"Human Rights,War",Internet,Local,Military Officials,Confirmed,,,,,
Amr Badir al-Deen Junaid,2013,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Freelance,Qaboun Media Center,"Human Rights,Politics,War",Internet,Local,Military Officials,Confirmed,,,,,
Aslam Durrani,2013,Pakistan,Male,Dangerous Assignment,Confirmed,Editor,Staff,Daily Pakistan,Politics,Print,Local,Political Group,Confirmed,,,,,
Ayub Khattak,2013,Pakistan,Male,Murder,Confirmed,Print Reporter,Staff,Karak Times,Crime,Print,Local,Criminal Group,Confirmed,No,No,Yes,,
Bashar al-Nuaimi,2013,Iraq,Male,Murder,Confirmed,"Camera Operator,Photographer",Staff,Al-Mosuliya TV,"Corruption,Culture,Politics,War",Television,Local,,Confirmed,No,No,No,,
Bassem Fawaz al-Zabi,2013,Syria,Male,Crossfire,Confirmed,Camera Operator,Freelance,Freelance,"Human Rights,Politics",Internet,Local,,Confirmed,,,,,
